"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","ID Indicatore","Numeratore"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","223.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","45.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","52.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","50.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","49.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","43.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","35.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","153.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","190.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","177.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","174.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","180.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","209.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","61.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","66.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","67.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","71.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","72.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","71.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","208.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","189.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","184.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","179.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","175.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","204.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","64.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","66.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","66.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","65.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","60.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","76.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","200.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","159.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","122.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","139.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","156.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","136.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","167.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","301.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","255.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","189.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","207.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","234.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","75.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","94.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","91.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","72.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","68.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","83.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","65.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","57.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","48.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","65.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","70.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","64.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","126.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","117.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","123.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","110.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","108.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","102.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","42.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","74.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","78.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","70.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","61.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","77.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","111.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","95.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","106.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","94.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","82.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","104.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","49.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","53.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","49.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","42.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","34.000"
"L-2 - Biotecnologie","0370106200200002 - Genomica","Università di Bologna","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","40.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","569.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","534.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","467.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","448.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","468.000"
"L-2 - Biotecnologie","0380106200200001 - Biotecnologie","Università di Ferrara","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","223.000"
