"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","ID Indicatore","Numeratore"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","87.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","71.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","86.000"
"L-2 - Biotecnologie","0150106200200016 - Biotecnologia","Università di Milano","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","107.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","30.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","26.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","27.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","27.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","30.000"
"L-2 - Biotecnologie","0150806200200002 - Ricerca biotecnologica in medicina","San Raffaele","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","24.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","129.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","109.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","96.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","89.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","118.000"
"L-2 - Biotecnologie","0150906200200008 - BIOTECNOLOGIE","Bicocca","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","77.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","17.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","18.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","16.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","21.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","25.000"
"L-2 - Biotecnologie","0170106200200003 - Biotecnologie","Università di Brescia","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","16.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","93.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","63.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","70.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","79.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","94.000"
"L-2 - Biotecnologie","0180106200200002 - Biotecnologie","Università di Pavia","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","73.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","48.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","43.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","34.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","43.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","33.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","45.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","44.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","35.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","32.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","65.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","47.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","35.000"
