"Ateneo","Classe","Nome Corso","ID Indicatore","Descrizione indicatore","Anno accademico","Indicatore"
"Università di Brescia","L-2 - Biotecnologie","0170106200200003 - Biotecnologie","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2023","71.000"
"Università di Brescia","L-2 - Biotecnologie","0170106200200003 - Biotecnologie","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2024","72.000"
"Università di Brescia","L-2 - Biotecnologie","0170106200200003 - Biotecnologie","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2025","71.000"
"Università di Cagliari","L-2 - Biotecnologie","0920106200200001 - BIOTECNOLOGIE","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2020","64.000"
"Università di Cagliari","L-2 - Biotecnologie","0920106200200001 - BIOTECNOLOGIE","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2021","65.000"
"Università di Cagliari","L-2 - Biotecnologie","0920106200200001 - BIOTECNOLOGIE","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2022","59.000"
"Università di Cagliari","L-2 - Biotecnologie","0920106200200001 - BIOTECNOLOGIE","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2023","60.000"
"Università di Cagliari","L-2 - Biotecnologie","0920106200200001 - BIOTECNOLOGIE","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2024","62.000"
"Università di Cagliari","L-2 - Biotecnologie","0920106200200001 - BIOTECNOLOGIE","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2025","90.000"
"Università della Calabria","L-2 - Biotecnologie","0780106201300002 - Scienze e tecnologie biologiche","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2020","79.000"
"Università della Calabria","L-2 - Biotecnologie","0780106201300002 - Scienze e tecnologie biologiche","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2021","65.000"
"Università della Calabria","L-2 - Biotecnologie","0780106201300002 - Scienze e tecnologie biologiche","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2022","83.000"
"Università della Calabria","L-2 - Biotecnologie","0780106201300002 - Scienze e tecnologie biologiche","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2023","84.000"
"Università della Calabria","L-2 - Biotecnologie","0780106201300002 - Scienze e tecnologie biologiche","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2024","83.000"
"Università della Calabria","L-2 - Biotecnologie","0780106201300002 - Scienze e tecnologie biologiche","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2025","70.000"
"Università di Camerino","L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2020","102.000"
"Università di Camerino","L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2021","103.000"
"Università di Camerino","L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2022","92.000"
"Università di Camerino","L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2023","115.000"
"Università di Camerino","L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","2024","86.000"
