"Ateneo","Nome Corso","Classe","ID Indicatore","Anno accademico","Numeratore"
"Università di Brescia","0170106200200003 - Biotecnologie","L-2 - Biotecnologie","iC21","2022","57.000"
"Università di Brescia","0170106200200003 - Biotecnologie","L-2 - Biotecnologie","iC21","2023","56.000"
"Università di Brescia","0170106200200003 - Biotecnologie","L-2 - Biotecnologie","iC21","2024","46.000"
"Università di Cagliari","0920106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2020","14.000"
"Università di Cagliari","0920106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2021","18.000"
"Università di Cagliari","0920106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2022","9.000"
"Università di Cagliari","0920106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2023","17.000"
"Università di Cagliari","0920106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2024","27.000"
"Università di Cagliari","0920106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2020","31.000"
"Università di Cagliari","0920106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2021","40.000"
"Università di Cagliari","0920106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2022","25.000"
"Università di Cagliari","0920106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2023","50.000"
"Università di Cagliari","0920106200200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2024","35.000"
"Università della Calabria","0780106201300002 - Scienze e tecnologie biologiche","L-2 - Biotecnologie","iC14","2020","39.000"
"Università della Calabria","0780106201300002 - Scienze e tecnologie biologiche","L-2 - Biotecnologie","iC14","2021","28.000"
"Università della Calabria","0780106201300002 - Scienze e tecnologie biologiche","L-2 - Biotecnologie","iC14","2022","41.000"
"Università della Calabria","0780106201300002 - Scienze e tecnologie biologiche","L-2 - Biotecnologie","iC14","2023","34.000"
"Università della Calabria","0780106201300002 - Scienze e tecnologie biologiche","L-2 - Biotecnologie","iC14","2024","48.000"
"Università della Calabria","0780106201300002 - Scienze e tecnologie biologiche","L-2 - Biotecnologie","iC21","2020","52.000"
"Università della Calabria","0780106201300002 - Scienze e tecnologie biologiche","L-2 - Biotecnologie","iC21","2021","42.000"
"Università della Calabria","0780106201300002 - Scienze e tecnologie biologiche","L-2 - Biotecnologie","iC21","2022","56.000"
"Università della Calabria","0780106201300002 - Scienze e tecnologie biologiche","L-2 - Biotecnologie","iC21","2023","59.000"
"Università della Calabria","0780106201300002 - Scienze e tecnologie biologiche","L-2 - Biotecnologie","iC21","2024","55.000"
"Università di Camerino","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","L-2 - Biotecnologie","iC14","2020","50.000"
"Università di Camerino","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","L-2 - Biotecnologie","iC14","2021","53.000"
"Università di Camerino","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","L-2 - Biotecnologie","iC14","2022","53.000"
"Università di Camerino","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","L-2 - Biotecnologie","iC14","2023","74.000"
"Università di Camerino","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","L-2 - Biotecnologie","iC14","2024","53.000"
"Università di Camerino","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","L-2 - Biotecnologie","iC21","2020","71.000"
"Università di Camerino","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","L-2 - Biotecnologie","iC21","2021","68.000"
"Università di Camerino","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","L-2 - Biotecnologie","iC21","2022","66.000"
"Università di Camerino","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","L-2 - Biotecnologie","iC21","2023","82.000"
"Università di Camerino","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","L-2 - Biotecnologie","iC21","2024","61.000"
"Università di Catania","0870106200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2020","82.000"
"Università di Catania","0870106200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2021","70.000"
"Università di Catania","0870106200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2022","58.000"
"Università di Catania","0870106200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2023","195.000"
"Università di Catania","0870106200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2024","194.000"
"Università di Catania","0870106200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2020","142.000"
"Università di Catania","0870106200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2021","130.000"
"Università di Catania","0870106200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2022","108.000"
"Università di Catania","0870106200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2023","415.000"
"Università di Catania","0870106200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2024","308.000"
"Magna Graecia","0790106200200002 - Biotecnologie","L-2 - Biotecnologie","iC14","2020","77.000"
"Magna Graecia","0790106200200002 - Biotecnologie","L-2 - Biotecnologie","iC14","2021","46.000"
"Magna Graecia","0790106200200002 - Biotecnologie","L-2 - Biotecnologie","iC14","2022","44.000"
"Magna Graecia","0790106200200002 - Biotecnologie","L-2 - Biotecnologie","iC14","2023","39.000"
"Magna Graecia","0790106200200002 - Biotecnologie","L-2 - Biotecnologie","iC14","2024","46.000"
"Magna Graecia","0790106200200002 - Biotecnologie","L-2 - Biotecnologie","iC21","2020","114.000"
"Magna Graecia","0790106200200002 - Biotecnologie","L-2 - Biotecnologie","iC21","2021","94.000"
"Magna Graecia","0790106200200002 - Biotecnologie","L-2 - Biotecnologie","iC21","2022","79.000"
"Magna Graecia","0790106200200002 - Biotecnologie","L-2 - Biotecnologie","iC21","2023","82.000"
"Magna Graecia","0790106200200002 - Biotecnologie","L-2 - Biotecnologie","iC21","2024","56.000"
"Università di Ferrara","0380106200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2020","215.000"
"Università di Ferrara","0380106200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2021","162.000"
"Università di Ferrara","0380106200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2022","131.000"
"Università di Ferrara","0380106200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2023","157.000"
"Università di Ferrara","0380106200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2024","138.000"
"Università di Ferrara","0380106200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2020","358.000"
"Università di Ferrara","0380106200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2021","284.000"
"Università di Ferrara","0380106200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2022","232.000"
"Università di Ferrara","0380106200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2023","251.000"
"Università di Ferrara","0380106200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2024","197.000"
"Università di Ferrara","0380106200200002 - Biotecnologie mediche","L-2 - Biotecnologie","iC14","2020","368.000"
"Università di Ferrara","0380106200200002 - Biotecnologie mediche","L-2 - Biotecnologie","iC14","2021","235.000"
"Università di Ferrara","0380106200200002 - Biotecnologie mediche","L-2 - Biotecnologie","iC14","2022","206.000"
"Università di Ferrara","0380106200200002 - Biotecnologie mediche","L-2 - Biotecnologie","iC14","2023","268.000"
"Università di Ferrara","0380106200200002 - Biotecnologie mediche","L-2 - Biotecnologie","iC14","2024","256.000"
"Università di Ferrara","0380106200200002 - Biotecnologie mediche","L-2 - Biotecnologie","iC21","2020","556.000"
"Università di Ferrara","0380106200200002 - Biotecnologie mediche","L-2 - Biotecnologie","iC21","2021","342.000"
