AnnoA;ClasseNUMERO;ClasseNOME;Sesso;Imm
2015/2016;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;M;335
2015/2016;L-22;Scienze delle attività motorie e sportive;F;1828
2015/2016;L-22;Scienze delle attività motorie e sportive;M;4544
2015/2016;L-23;Scienze e tecniche dell'edilizia;F;407
2015/2016;L-23;Scienze e tecniche dell'edilizia;M;618
2015/2016;L-24;Scienze e tecniche psicologiche;F;6108
2015/2016;L-24;Scienze e tecniche psicologiche;M;1760
2015/2016;L-25;Scienze e tecnologie agrarie e forestali;F;1193
2015/2016;L-25;Scienze e tecnologie agrarie e forestali;M;2764
2015/2016;L-26;Scienze e tecnologie alimentari;F;1757
2015/2016;L-26;Scienze e tecnologie alimentari;M;1628
2015/2016;L-27;Scienze e tecnologie chimiche;F;2059
2015/2016;L-27;Scienze e tecnologie chimiche;M;1985
2015/2016;L-28;Scienze e tecnologie della navigazione;F;35
2015/2016;L-28;Scienze e tecnologie della navigazione;M;172
2015/2016;L-29;Scienze e tecnologie farmaceutiche;F;1495
2015/2016;L-29;Scienze e tecnologie farmaceutiche;M;438
2015/2016;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;F;1557
2015/2016;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;M;873
2015/2016;L-30;Scienze e tecnologie fisiche;F;1109
2015/2016;L-30;Scienze e tecnologie fisiche;M;2506
2015/2016;L-31;Scienze e tecnologie informatiche;F;805
2015/2016;L-31;Scienze e tecnologie informatiche;M;5274
2015/2016;L-32;Scienze e tecnologie per l'ambiente e la natura;F;1484
2015/2016;L-32;Scienze e tecnologie per l'ambiente e la natura;M;1139
2015/2016;L-33;Scienze economiche;F;4127
2015/2016;L-33;Scienze economiche;M;5638
2015/2016;L-34;Scienze geologiche;F;448
2015/2016;L-34;Scienze geologiche;M;793
2015/2016;L-35;Scienze matematiche;F;1287
2015/2016;L-35;Scienze matematiche;M;1192
2015/2016;L-36;Scienze politiche e delle relazioni internazionali;F;4408
2015/2016;L-36;Scienze politiche e delle relazioni internazionali;M;4230
2015/2016;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;F;354
2015/2016;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;M;208
2015/2016;L-38;Scienze zootecniche e tecnologie delle produzioni animali;F;1289
2015/2016;L-38;Scienze zootecniche e tecnologie delle produzioni animali;M;546
2015/2016;L-39;Servizio sociale;F;2628
2015/2016;L-39;Servizio sociale;M;258
2015/2016;L-4;Disegno industriale;F;1318
2015/2016;L-4;Disegno industriale;M;892
2015/2016;L-40;Sociologia;F;1889
2015/2016;L-40;Sociologia;M;669
2015/2016;L-41;Statistica;F;383
2015/2016;L-41;Statistica;M;479
2015/2016;L-42;Storia;F;637
2015/2016;L-42;Storia;M;1020
2015/2016;L-43;Diagnostica per la conservazione dei beni culturali;F;170
2015/2016;L-43;Diagnostica per la conservazione dei beni culturali;M;54
2015/2016;L-5;Filosofia;F;1483
2015/2016;L-5;Filosofia;M;1409
2015/2016;L-6;Geografia;F;84
2015/2016;L-6;Geografia;M;91
2015/2016;L-7;Ingegneria civile e ambientale;F;1498
2015/2016;L-7;Ingegneria civile e ambientale;M;3540
2015/2016;L-8;Ingegneria dell'informazione;F;2995
2015/2016;L-8;Ingegneria dell'informazione;M;10955
2015/2016;L-9;Ingegneria industriale;F;4728
2015/2016;L-9;Ingegneria industriale;M;16355
2015/2016;LM-13;Farmacia e farmacia industriale;F;4882
2015/2016;LM-13;Farmacia e farmacia industriale;M;1838
2015/2016;LM-41;Medicina e chirurgia;F;2147
2015/2016;LM-41;Medicina e chirurgia;M;2121
2015/2016;LM-42;Medicina veterinaria;F;179
2015/2016;LM-42;Medicina veterinaria;M;95
2015/2016;LM-46;Odontoiatria e protesi dentaria;F;134
2015/2016;LM-46;Odontoiatria e protesi dentaria;M;184
2015/2016;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);F;1578
2015/2016;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);M;1138
2015/2016;LM-85 bis;Scienze della formazione primaria;F;2875
2015/2016;LM-85 bis;Scienze della formazione primaria;M;143
2015/2016;LMG/01;Magistrali in giurisprudenza;F;11040
2015/2016;LMG/01;Magistrali in giurisprudenza;M;6729
2015/2016;LMR/02;Conservazione e restauro dei beni culturali;F;59
2015/2016;LMR/02;Conservazione e restauro dei beni culturali;M;2
2014/2015;14/S;Specialistiche in farmacia e farmacia industriale;F;1
2014/2015;14/S;Specialistiche in farmacia e farmacia industriale;M;1
2014/2015;18-bis;Scienze della Formazione Primaria - Quadriennale;F;2
2014/2015;46/S;Specialistiche in medicina e chirurgia;F;1
2014/2015;DS1;Scienze della difesa e della sicurezza;F;44
2014/2015;DS1;Scienze della difesa e della sicurezza;M;169
2014/2015;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;8260
2014/2015;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;3011
2014/2015;L/SNT2;Professioni sanitarie della riabilitazione;F;1704
2014/2015;L/SNT2;Professioni sanitarie della riabilitazione;M;743
2014/2015;L/SNT3;Professioni sanitarie tecniche;F;1259
2014/2015;L/SNT3;Professioni sanitarie tecniche;M;796
2014/2015;L/SNT4;Professioni sanitarie della prevenzione;F;311
2014/2015;L/SNT4;Professioni sanitarie della prevenzione;M;280
2014/2015;L-1;Beni culturali;F;3166
2014/2015;L-1;Beni culturali;M;936
2014/2015;L-10;Lettere;F;4847
2014/2015;L-10;Lettere;M;1970
2014/2015;L-11;Lingue e culture moderne;F;9945
2014/2015;L-11;Lingue e culture moderne;M;2470
2014/2015;L-12;Mediazione linguistica;F;7053
2014/2015;L-12;Mediazione linguistica;M;1477
2014/2015;L-13;Scienze biologiche;F;5458
2014/2015;L-13;Scienze biologiche;M;2280
2014/2015;L-14;Scienze dei servizi giuridici;F;1646
2014/2015;L-14;Scienze dei servizi giuridici;M;1220
2014/2015;L-15;Scienze del turismo;F;1715
2014/2015;L-15;Scienze del turismo;M;633
2014/2015;L-16;Scienze dell'amministrazione e dell'organizzazione;F;1167
2014/2015;L-16;Scienze dell'amministrazione e dell'organizzazione;M;1036
2014/2015;L-17;Scienze dell'architettura;F;1738
2014/2015;L-17;Scienze dell'architettura;M;1191
2014/2015;L-18;Scienze dell'economia e della gestione aziendale;F;12265
2014/2015;L-18;Scienze dell'economia e della gestione aziendale;M;15052
2014/2015;L-19;Scienze dell'educazione e della formazione;F;8807
2014/2015;L-19;Scienze dell'educazione e della formazione;M;708
2014/2015;L-2;Biotecnologie;F;2387
2014/2015;L-2;Biotecnologie;M;1346
2014/2015;L-20;Scienze della comunicazione;F;4803
2014/2015;L-20;Scienze della comunicazione;M;2390
2014/2015;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;F;265
2014/2015;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;M;321
2014/2015;L-22;Scienze delle attività motorie e sportive;F;1679
2014/2015;L-22;Scienze delle attività motorie e sportive;M;4281
2014/2015;L-23;Scienze e tecniche dell'edilizia;F;424
2014/2015;L-23;Scienze e tecniche dell'edilizia;M;794
2014/2015;L-24;Scienze e tecniche psicologiche;F;5775
2014/2015;L-24;Scienze e tecniche psicologiche;M;1609
2014/2015;L-25;Scienze e tecnologie agrarie e forestali;F;1153
2014/2015;L-25;Scienze e tecnologie agrarie e forestali;M;2725
2014/2015;L-26;Scienze e tecnologie alimentari;F;1496
2014/2015;L-26;Scienze e tecnologie alimentari;M;1464
2014/2015;L-27;Scienze e tecnologie chimiche;F;1514
2014/2015;L-27;Scienze e tecnologie chimiche;M;1733
2014/2015;L-28;Scienze e tecnologie della navigazione;F;36
2014/2015;L-28;Scienze e tecnologie della navigazione;M;171
2014/2015;L-29;Scienze e tecnologie farmaceutiche;F;994
2014/2015;L-29;Scienze e tecnologie farmaceutiche;M;332
2014/2015;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;F;1473
2014/2015;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;M;882
2014/2015;L-30;Scienze e tecnologie fisiche;F;917
2014/2015;L-30;Scienze e tecnologie fisiche;M;1973
2014/2015;L-31;Scienze e tecnologie informatiche;F;759
2014/2015;L-31;Scienze e tecnologie informatiche;M;4744
2014/2015;L-32;Scienze e tecnologie per l'ambiente e la natura;F;1319
2014/2015;L-32;Scienze e tecnologie per l'ambiente e la natura;M;1051
2014/2015;L-33;Scienze economiche;F;4093
2014/2015;L-33;Scienze economiche;M;5445
2014/2015;L-34;Scienze geologiche;F;477
2014/2015;L-34;Scienze geologiche;M;765
2014/2015;L-35;Scienze matematiche;F;1195
2014/2015;L-35;Scienze matematiche;M;1004
2014/2015;L-36;Scienze politiche e delle relazioni internazionali;F;4257
2014/2015;L-36;Scienze politiche e delle relazioni internazionali;M;3999
2014/2015;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;F;418
2014/2015;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;M;230
2014/2015;L-38;Scienze zootecniche e tecnologie delle produzioni animali;F;1231
2014/2015;L-38;Scienze zootecniche e tecnologie delle produzioni animali;M;507
2014/2015;L-39;Servizio sociale;F;2883
2014/2015;L-39;Servizio sociale;M;304
2014/2015;L-4;Disegno industriale;F;1251
2014/2015;L-4;Disegno industriale;M;777
2014/2015;L-40;Sociologia;F;1767
2014/2015;L-40;Sociologia;M;607
2014/2015;L-41;Statistica;F;480
2014/2015;L-41;Statistica;M;637
2014/2015;L-42;Storia;F;510
2014/2015;L-42;Storia;M;905
2014/2015;L-43;Diagnostica per la conservazione dei beni culturali;F;175
2014/2015;L-43;Diagnostica per la conservazione dei beni culturali;M;46
2014/2015;L-5;Filosofia;F;1336
2014/2015;L-5;Filosofia;M;1369
2014/2015;L-6;Geografia;F;72
2014/2015;L-6;Geografia;M;69
2014/2015;L-7;Ingegneria civile e ambientale;F;1620
2014/2015;L-7;Ingegneria civile e ambientale;M;3821
2014/2015;L-8;Ingegneria dell'informazione;F;2811
2014/2015;L-8;Ingegneria dell'informazione;M;10131
2014/2015;L-9;Ingegneria industriale;F;4366
2014/2015;L-9;Ingegneria industriale;M;15173
2014/2015;LM-13;Farmacia e farmacia industriale;F;4417
2014/2015;LM-13;Farmacia e farmacia industriale;M;1806
2014/2015;LM-41;Medicina e chirurgia;F;4055
2014/2015;LM-41;Medicina e chirurgia;M;3854
2014/2015;LM-42;Medicina veterinaria;F;269
2014/2015;LM-42;Medicina veterinaria;M;138
2014/2015;LM-46;Odontoiatria e protesi dentaria;F;269
2014/2015;LM-46;Odontoiatria e protesi dentaria;M;373
2014/2015;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);F;1856
2014/2015;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);M;1299
2014/2015;LM-85 bis;Scienze della formazione primaria;F;2559
2014/2015;LM-85 bis;Scienze della formazione primaria;M;146
2014/2015;LMG/01;Magistrali in giurisprudenza;F;11902
2014/2015;LMG/01;Magistrali in giurisprudenza;M;7157
2014/2015;LMR/02;Conservazione e restauro dei beni culturali;F;53
2014/2015;LMR/02;Conservazione e restauro dei beni culturali;M;7
2013/2014;14/S;Specialistiche in farmacia e farmacia industriale;F;11
2013/2014;14/S;Specialistiche in farmacia e farmacia industriale;M;4
2013/2014;18-bis;Scienze della Formazione Primaria - Quadriennale;F;1
2013/2014;33;Scienze delle attivita motorie e sportive;F;1
2013/2014;4/S-cu;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;F;3
2013/2014;4/S-cu;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;M;8
2013/2014;46/S;Specialistiche in medicina e chirurgia;F;33
2013/2014;46/S;Specialistiche in medicina e chirurgia;M;5
2013/2014;52/S;Specialistiche in odontoiatria e protesi dentaria;F;2
2013/2014;52/S;Specialistiche in odontoiatria e protesi dentaria;M;1
2013/2014;8;Ingegneria civile e ambientale;M;1
2013/2014;DS1;Scienze della difesa e della sicurezza;F;61
2013/2014;DS1;Scienze della difesa e della sicurezza;M;203
2013/2014;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;7710
2013/2014;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;3154
2013/2014;L/SNT2;Professioni sanitarie della riabilitazione;F;1543
2013/2014;L/SNT2;Professioni sanitarie della riabilitazione;M;692
2013/2014;L/SNT3;Professioni sanitarie tecniche;F;1237
2013/2014;L/SNT3;Professioni sanitarie tecniche;M;783
2013/2014;L/SNT4;Professioni sanitarie della prevenzione;F;314
2013/2014;L/SNT4;Professioni sanitarie della prevenzione;M;271
2013/2014;L-1;Beni culturali;F;3070
2013/2014;L-1;Beni culturali;M;936
2013/2014;L-10;Lettere;F;4715
2013/2014;L-10;Lettere;M;1790
2013/2014;L-11;Lingue e culture moderne;F;9684
2013/2014;L-11;Lingue e culture moderne;M;2545
2013/2014;L-12;Mediazione linguistica;F;6633
2013/2014;L-12;Mediazione linguistica;M;1432
2013/2014;L-13;Scienze biologiche;F;6034
2013/2014;L-13;Scienze biologiche;M;2432
2013/2014;L-14;Scienze dei servizi giuridici;F;1667
2013/2014;L-14;Scienze dei servizi giuridici;M;1249
2013/2014;L-15;Scienze del turismo;F;1641
2013/2014;L-15;Scienze del turismo;M;614
2013/2014;L-16;Scienze dell'amministrazione e dell'organizzazione;F;1180
2013/2014;L-16;Scienze dell'amministrazione e dell'organizzazione;M;1019
2013/2014;L-17;Scienze dell'architettura;F;1526
2013/2014;L-17;Scienze dell'architettura;M;1291
2013/2014;L-18;Scienze dell'economia e della gestione aziendale;F;12301
2013/2014;L-18;Scienze dell'economia e della gestione aziendale;M;14505
2013/2014;L-19;Scienze dell'educazione e della formazione;F;9013
2013/2014;L-19;Scienze dell'educazione e della formazione;M;876
2013/2014;L-2;Biotecnologie;F;2504
2013/2014;L-2;Biotecnologie;M;1465
2013/2014;L-20;Scienze della comunicazione;F;4624
2013/2014;L-20;Scienze della comunicazione;M;2345
2013/2014;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;F;179
2013/2014;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;M;257
2013/2014;L-22;Scienze delle attività motorie e sportive;F;1869
2013/2014;L-22;Scienze delle attività motorie e sportive;M;4217
2013/2014;L-23;Scienze e tecniche dell'edilizia;F;574
2013/2014;L-23;Scienze e tecniche dell'edilizia;M;892
2013/2014;L-24;Scienze e tecniche psicologiche;F;6290
2013/2014;L-24;Scienze e tecniche psicologiche;M;1776
2013/2014;L-25;Scienze e tecnologie agrarie e forestali;F;1409
2013/2014;L-25;Scienze e tecnologie agrarie e forestali;M;2878
2013/2014;L-26;Scienze e tecnologie alimentari;F;2071
2013/2014;L-26;Scienze e tecnologie alimentari;M;1519
2013/2014;L-27;Scienze e tecnologie chimiche;F;1727
2013/2014;L-27;Scienze e tecnologie chimiche;M;1833
2013/2014;L-28;Scienze e tecnologie della navigazione;F;42
2013/2014;L-28;Scienze e tecnologie della navigazione;M;146
2013/2014;L-29;Scienze e tecnologie farmaceutiche;F;1266
2013/2014;L-29;Scienze e tecnologie farmaceutiche;M;436
2013/2014;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;F;1410
2013/2014;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;M;732
2013/2014;L-30;Scienze e tecnologie fisiche;F;911
2013/2014;L-30;Scienze e tecnologie fisiche;M;1922
2013/2014;L-31;Scienze e tecnologie informatiche;F;743
2013/2014;L-31;Scienze e tecnologie informatiche;M;4475
2013/2014;L-32;Scienze e tecnologie per l'ambiente e la natura;F;1445
2013/2014;L-32;Scienze e tecnologie per l'ambiente e la natura;M;980
2013/2014;L-33;Scienze economiche;F;4481
2013/2014;L-33;Scienze economiche;M;5751
2013/2014;L-34;Scienze geologiche;F;531
2013/2014;L-34;Scienze geologiche;M;846
2013/2014;L-35;Scienze matematiche;F;1163
2013/2014;L-35;Scienze matematiche;M;1075
2013/2014;L-36;Scienze politiche e delle relazioni internazionali;F;4184
2013/2014;L-36;Scienze politiche e delle relazioni internazionali;M;3718
2013/2014;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;F;371
2013/2014;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;M;265
2013/2014;L-38;Scienze zootecniche e tecnologie delle produzioni animali;F;1154
2013/2014;L-38;Scienze zootecniche e tecnologie delle produzioni animali;M;489
2013/2014;L-39;Servizio sociale;F;2894
2013/2014;L-39;Servizio sociale;M;290
2013/2014;L-4;Disegno industriale;F;1216
2013/2014;L-4;Disegno industriale;M;725
2013/2014;L-40;Sociologia;F;1784
2013/2014;L-40;Sociologia;M;569
2013/2014;L-41;Statistica;F;434
2013/2014;L-41;Statistica;M;555
2013/2014;L-42;Storia;F;581
2013/2014;L-42;Storia;M;932
2013/2014;L-43;Diagnostica per la conservazione dei beni culturali;F;164
2013/2014;L-43;Diagnostica per la conservazione dei beni culturali;M;46
2013/2014;L-5;Filosofia;F;1373
2013/2014;L-5;Filosofia;M;1260
2013/2014;L-6;Geografia;F;71
2013/2014;L-6;Geografia;M;70
2013/2014;L-7;Ingegneria civile e ambientale;F;1971
2013/2014;L-7;Ingegneria civile e ambientale;M;4518
2013/2014;L-8;Ingegneria dell'informazione;F;2794
2013/2014;L-8;Ingegneria dell'informazione;M;9626
2013/2014;L-9;Ingegneria industriale;F;3911
2013/2014;L-9;Ingegneria industriale;M;14693
2013/2014;LM-13;Farmacia e farmacia industriale;F;4529
2013/2014;LM-13;Farmacia e farmacia industriale;M;1887
2013/2014;LM-41;Medicina e chirurgia;F;2345
2013/2014;LM-41;Medicina e chirurgia;M;2369
2013/2014;LM-42;Medicina veterinaria;F;123
2013/2014;LM-42;Medicina veterinaria;M;86
2013/2014;LM-46;Odontoiatria e protesi dentaria;F;149
2013/2014;LM-46;Odontoiatria e protesi dentaria;M;183
2013/2014;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);F;1544
2013/2014;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);M;1221
2013/2014;LM-85 bis;Scienze della formazione primaria;F;2468
2013/2014;LM-85 bis;Scienze della formazione primaria;M;124
2013/2014;LMG/01;Magistrali in giurisprudenza;F;13559
2013/2014;LMG/01;Magistrali in giurisprudenza;M;8398
2013/2014;LMR/02;Conservazione e restauro dei beni culturali;F;35
2013/2014;LMR/02;Conservazione e restauro dei beni culturali;M;9
2012/2013;14/S;Specialistiche in farmacia e farmacia industriale;F;8
2012/2013;18-bis;Scienze della Formazione Primaria - Quadriennale;M;1
2012/2013;4/S-cu;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;F;6
2012/2013;4/S-cu;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;M;2
2012/2013;46/S;Specialistiche in medicina e chirurgia;F;22
2012/2013;46/S;Specialistiche in medicina e chirurgia;M;8
2012/2013;52/S;Specialistiche in odontoiatria e protesi dentaria;F;2
2012/2013;52/S;Specialistiche in odontoiatria e protesi dentaria;M;1
2012/2013;8;Ingegneria civile e ambientale;M;6
2012/2013;DS1;Scienze della difesa e della sicurezza;F;64
2012/2013;DS1;Scienze della difesa e della sicurezza;M;213
2012/2013;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;7417
2012/2013;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;3235
2012/2013;L/SNT2;Professioni sanitarie della riabilitazione;F;1405
2012/2013;L/SNT2;Professioni sanitarie della riabilitazione;M;587
2012/2013;L/SNT3;Professioni sanitarie tecniche;F;1209
2012/2013;L/SNT3;Professioni sanitarie tecniche;M;771
2012/2013;L/SNT4;Professioni sanitarie della prevenzione;F;338
2012/2013;L/SNT4;Professioni sanitarie della prevenzione;M;273
2012/2013;L-1;Beni culturali;F;2982
2012/2013;L-1;Beni culturali;M;887
2012/2013;L-10;Lettere;F;4625
2012/2013;L-10;Lettere;M;1862
2012/2013;L-11;Lingue e culture moderne;F;9300
2012/2013;L-11;Lingue e culture moderne;M;2403
2012/2013;L-12;Mediazione linguistica;F;6181
2012/2013;L-12;Mediazione linguistica;M;1307
2012/2013;L-13;Scienze biologiche;F;6086
2012/2013;L-13;Scienze biologiche;M;2378
2012/2013;L-14;Scienze dei servizi giuridici;F;1867
2012/2013;L-14;Scienze dei servizi giuridici;M;1449
2012/2013;L-15;Scienze del turismo;F;1665
2012/2013;L-15;Scienze del turismo;M;566
2012/2013;L-16;Scienze dell'amministrazione e dell'organizzazione;F;1274
2012/2013;L-16;Scienze dell'amministrazione e dell'organizzazione;M;1111
2012/2013;L-17;Scienze dell'architettura;F;1728
2012/2013;L-17;Scienze dell'architettura;M;1346
2012/2013;L-18;Scienze dell'economia e della gestione aziendale;F;12786
2012/2013;L-18;Scienze dell'economia e della gestione aziendale;M;14715
2012/2013;L-19;Scienze dell'educazione e della formazione;F;9592
2012/2013;L-19;Scienze dell'educazione e della formazione;M;982
2012/2013;L-2;Biotecnologie;F;2747
2012/2013;L-2;Biotecnologie;M;1542
2012/2013;L-20;Scienze della comunicazione;F;4430
2012/2013;L-20;Scienze della comunicazione;M;2167
2012/2013;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;F;223
2012/2013;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;M;300
2012/2013;L-22;Scienze delle attività motorie e sportive;F;1638
2012/2013;L-22;Scienze delle attività motorie e sportive;M;3851
2012/2013;L-23;Scienze e tecniche dell'edilizia;F;760
2012/2013;L-23;Scienze e tecniche dell'edilizia;M;1031
2012/2013;L-24;Scienze e tecniche psicologiche;F;6219
2012/2013;L-24;Scienze e tecniche psicologiche;M;1699
2012/2013;L-25;Scienze e tecnologie agrarie e forestali;F;1087
2012/2013;L-25;Scienze e tecnologie agrarie e forestali;M;2534
2012/2013;L-26;Scienze e tecnologie alimentari;F;1884
2012/2013;L-26;Scienze e tecnologie alimentari;M;1346
2012/2013;L-27;Scienze e tecnologie chimiche;F;1911
2012/2013;L-27;Scienze e tecnologie chimiche;M;1727
2012/2013;L-28;Scienze e tecnologie della navigazione;F;47
2012/2013;L-28;Scienze e tecnologie della navigazione;M;146
2012/2013;L-29;Scienze e tecnologie farmaceutiche;F;1643
2012/2013;L-29;Scienze e tecnologie farmaceutiche;M;488
2012/2013;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;F;1505
2012/2013;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda;M;762
2012/2013;L-30;Scienze e tecnologie fisiche;F;1141
2012/2013;L-30;Scienze e tecnologie fisiche;M;1910
2012/2013;L-31;Scienze e tecnologie informatiche;F;653
2012/2013;L-31;Scienze e tecnologie informatiche;M;4040
2012/2013;L-32;Scienze e tecnologie per l'ambiente e la natura;F;1540
2012/2013;L-32;Scienze e tecnologie per l'ambiente e la natura;M;1104
2012/2013;L-33;Scienze economiche;F;4435
2012/2013;L-33;Scienze economiche;M;5512
2012/2013;L-34;Scienze geologiche;F;598
2012/2013;L-34;Scienze geologiche;M;938
2012/2013;L-35;Scienze matematiche;F;1320
2012/2013;L-35;Scienze matematiche;M;1077
2012/2013;L-36;Scienze politiche e delle relazioni internazionali;F;3644
2012/2013;L-36;Scienze politiche e delle relazioni internazionali;M;3486
2012/2013;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;F;390
2012/2013;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace;M;233
2012/2013;L-38;Scienze zootecniche e tecnologie delle produzioni animali;F;1378
2012/2013;L-38;Scienze zootecniche e tecnologie delle produzioni animali;M;560
2012/2013;L-39;Servizio sociale;F;2804
2012/2013;L-39;Servizio sociale;M;269
2012/2013;L-4;Disegno industriale;F;1191
2012/2013;L-4;Disegno industriale;M;731
2012/2013;L-40;Sociologia;F;1634
2012/2013;L-40;Sociologia;M;532
2012/2013;L-41;Statistica;F;425
2012/2013;L-41;Statistica;M;600
2012/2013;L-42;Storia;F;518
2012/2013;L-42;Storia;M;864
2012/2013;L-43;Diagnostica per la conservazione dei beni culturali;F;244
2012/2013;L-43;Diagnostica per la conservazione dei beni culturali;M;76
2012/2013;L-5;Filosofia;F;1382
2012/2013;L-5;Filosofia;M;1206
2012/2013;L-6;Geografia;F;80
2012/2013;L-6;Geografia;M;76
2012/2013;L-7;Ingegneria civile e ambientale;F;2168
2012/2013;L-7;Ingegneria civile e ambientale;M;4744
2012/2013;L-8;Ingegneria dell'informazione;F;2578
2012/2013;L-8;Ingegneria dell'informazione;M;9231
2012/2013;L-9;Ingegneria industriale;F;3850
2012/2013;L-9;Ingegneria industriale;M;14618
2012/2013;LM-13;Farmacia e farmacia industriale;F;4554
2012/2013;LM-13;Farmacia e farmacia industriale;M;1806
2012/2013;LM-41;Medicina e chirurgia;F;2521
2012/2013;LM-41;Medicina e chirurgia;M;2844
2012/2013;LM-42;Medicina veterinaria;F;226
2012/2013;LM-42;Medicina veterinaria;M;118
2012/2013;LM-46;Odontoiatria e protesi dentaria;F;167
2012/2013;LM-46;Odontoiatria e protesi dentaria;M;182
2012/2013;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);F;1654
2012/2013;LM-4cu;Architettura e ingegneria edile-architettura (quinquennale);M;1377
2012/2013;LM-85 bis;Scienze della formazione primaria;F;2111
2012/2013;LM-85 bis;Scienze della formazione primaria;M;104
2012/2013;LMG/01;Magistrali in giurisprudenza;F;14762
2012/2013;LMG/01;Magistrali in giurisprudenza;M;8792
2012/2013;LMR/02;Conservazione e restauro dei beni culturali;F;28
2012/2013;LMR/02;Conservazione e restauro dei beni culturali;M;1
2012/2013;SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;6
2012/2013;SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;3
2012/2013;SNT2;Professioni sanitarie della riabilitazione;F;3
2012/2013;SNT3;Professioni sanitarie tecniche;F;6
2012/2013;SNT3;Professioni sanitarie tecniche;M;3
2011/2012;10;Ingegneria industriale;F;3
2011/2012;10;Ingegneria industriale;M;11
2011/2012;12;Scienze biologiche;F;1
2011/2012;14;Scienze della comunicazione;F;1
2011/2012;14/S;Specialistiche in farmacia e farmacia industriale;F;13
2011/2012;14/S;Specialistiche in farmacia e farmacia industriale;M;4
2011/2012;18;Scienze dell'educazione e della formazione;F;1
2011/2012;18-bis;Scienze della Formazione Primaria - Quadriennale;F;13
2011/2012;18-bis;Scienze della Formazione Primaria - Quadriennale;M;1
2011/2012;19;Scienze dell'amministrazione;M;1
2011/2012;21;Scienze e tecnologie chimiche;F;2
2011/2012;24;Scienze e tecnologie farmaceutiche;F;1
2011/2012;3;Scienze della mediazione linguistica;F;4
2011/2012;3;Scienze della mediazione linguistica;M;2
2011/2012;32;Scienze matematiche;M;1
2011/2012;33;Scienze delle attivita motorie e sportive;F;2
2011/2012;33;Scienze delle attivita motorie e sportive;M;1
2011/2012;4/S-cu;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;F;1
2011/2012;46/S;Specialistiche in medicina e chirurgia;F;40
2011/2012;46/S;Specialistiche in medicina e chirurgia;M;7
2011/2012;47/S;Specialistiche in medicina veterinaria;F;2
2011/2012;47/S;Specialistiche in medicina veterinaria;M;4
2011/2012;52/S;Specialistiche in odontoiatria e protesi dentaria;F;3
2011/2012;52/S;Specialistiche in odontoiatria e protesi dentaria;M;8
2011/2012;8;Ingegneria civile e ambientale;M;2
2011/2012;9;Ingegneria dell'informazione;F;1
2011/2012;9;Ingegneria dell'informazione;M;3
2011/2012;DS1;Scienze della difesa e della sicurezza;F;57
2011/2012;DS1;Scienze della difesa e della sicurezza;M;200
